3CM025;Techspace-Aero Facility, Liege, Belgium;Nov-95;TF;5.6;708;1. FAA Certification Report CR-797/P, June 95.  2. Engine S/N 779-194/1
2CM014;Peebles Site IIIB;Oct-92;TF;5.9;674;1. Ref GE Report R92AEB262.  2. Engine S/N 779101
2CM018;PTO Site IIIC;Jun-94;TF;5.7;1350;1. Ref GE Report CR-797/2.  2. Engine S/N 779131/001 & 779132/001  3. DAC combustor
3CM021;Peebles Ohio, USE + Liers, Belgium;Aug-96;TF;5.9;1136;DAC-II Combustor P/N 1968M99G04
8CM055;PTO, Ohio, USA;Sep-05;TF;5.7;314;1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Also covers CFM56-5B4/3B1  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)
3CM026;TechspaceAero Facility, Liege, Belgium;Nov-95;TF;5.9;818;1. FAA Certification Report CR-797/P, June 95.  2. Engine S/N 779-194/1
8CM056;PTO, Ohio, USA;Sep-05;TF;6;520;1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)
11CM069;PTO, Ohio, USA;29-Sep-05;TF;5.3;446;1. Ref. GE REPORT CR-2097/3  2. Rev. 1Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)
3CM032;Peebles Test Operation, Peebles, Ohio, USA;Jul-96;TF;5.2A;432;1.  FAA Certification Report CR-997, Dec 96.  2.  Engine S/N 4-101/01
4CM041;Peebles Test Operation (PTO) Peebles, OH;30-Aug-97;TF;5.2;1576;1.  FAA Certification Report CR-997/2, 14 Nov 97  2.  Engine S/N 874-136/01, 874-141/01, 874-146/01
8CM064;PTO, Ohio, USA;29-Sep-05;TF;5.3;377;1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Data also apply to models CFM56-7B24/3 and -7B24/3B1  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)
