"630 ";"Allied Signal";"Phoenix";"TF";"13.9";"15.6";"317.6 "
"10244";"GE Aviation";"PTO, Ohio, USA";"TF";"41.9";"308.7";"5.31"
"1607";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"17.97";"34.91";"82.6"
"1751";"Honeywell";"Phoenix, AZ";"TF";"21.95";"30.62";"83.3"
"15268";"GE Aviation";"PTO, Ohio, USA";"TF";"46.0";"341.2";"3.98"
"7716 ";"International Aero Engines";"East Hartford, CT, USA";"MTF";"29.8";"111.2";"5.1 "
"1319";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"17.22";"33.05";"71.7"
"-";"Honeywell";"Phoenix, AZ";"MTF";"22.58";"32.86";"15.9"
"1465";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"17.22";"33.05";"88.4"
"5039";"IAE International Aero Engines";"East Hartford, CT";"MTF";"27";"108.9";"2.40"
"1444";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"17.9";"34.74";"58.9"
"1567";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"17.9";"34.74";"83.4"
"1817";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"20.2";"42.23";"27.12"
"31175 ";"GE";"Site IVD & 6, PTO, Peebles, Ohio, USA";"TF";"40.4";"426.72";"22.4 "
"1429";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"rMTF";"17.2";"33";"95.4"
"1316";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"17.2";"33";"72.6"
"991 ";"Allison Engine Company";"Indianapolis, Indiana, USA";"MTF";"16.2";"28.6";"89.3 "
"30617 ";"GE";"Site IIID, PTO, Peebles, OH";"TF";"40.53";"437.52";"4.0 "
"1150";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"15.8";"29.62";"91.1"
"30617 ";"GE";"Site IIID, PTO, Peebles, OH";"TF";"40.53";"432.8";"4.0 "
"1050";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"15.8";"29.62";"71.6"
"1175";"Rolls-Royce Corporation";"Indianapolis, Indiana, USA";"MTF";"16.6";"31.5";"55.9"
"6279";"GE Aviation";"PTO, Ohio, USA";"TF";"37.2";"271.3";"9.9"
"9049";"GE Aviation";"PTO, Ohio, USA";"TF";"40.5";"298.0";"5.92"
"4338 ";"AO 'Aviadgatel'";"Sheremetjevo,  Moscow";"MTgF";"18.4";"66.64";"1060.0 "
