AE3007A1;Indianapolis, Indiana, USA;3-Mar-94;MTF;307;42736
AE3007A1 series;Indianapolis, Indiana, USA;3-Mar-94;MTF;279;41671
AE3007A1/1;Indianapolis, Indiana, USA;37496;MTF;370;0.01
AE3007A1/3;Indianapolis, Indiana, USA;37496;MTF;372;0.01
AE3007A1P;Indianapolis, Indiana, USA;3-Mar-94;MTF;308;42736
AE3007A3;Indianapolis, Indiana, USA;3-Mar-94;MTF;361;42736
AE3007A3;Indianapolis, Indiana, USA;37051;MTF;289;0.01
AE3007C;Indianapolis, Indiana, USA;3-Mar-94;MTF;320;42736
AE3007C1;Indianapolis, Indiana, USA;3-Mar-94;MTF;344;42736
D-30 (Il series);Sheremetjevo,  Moscow;33088;MTF;8992;45.1
PS-90A;Perm City;32615;MTF;138;41836
BR700-710A1-10;BMW Rolls-Royce GmbH, Dahlewitz, Germany;19-Oct-9g;MTF;156;18.0
BR700-715A1-30;BMW Rolls-Royce GmbH, Dahlewitz, Germany;36340;MTF;25;41795
BR700-715B1-30;BMW Rolls-Royce GmbH, Dahlewitz, Germany;36340;MTF;20;41887
BR-700-725A1-12;Dahlewitz;39666;MTF;398;41856
CFM56-5-A1;Peebles Site IIIC;31735;TF;285;41718
CFM56-5A4;Peebles Site IIIC;31735;TF;322;41899
CFM56-5B1/2;PTO Site IIIC;34500;TF;1168;41795
CFM56-5B2/2;PTO Site IIIC;34486;TF;1128;41795
CFM56-5B2/3;PTO, Ohio, USA;38596;TF;221;41656
CFM56-5B3/3;PTO, Ohio, USA;38596;TF;204;41807
CFM56-5B4/2;PTO Site IIIC;34486;TF;1350;41795
CFM56-5B4/3;PTO, Ohio, USA;38596;TF;314;41834
CFM56-5B6/2P;PeTbles Ohio, USE + Liers, Belgium;35278;TF;849;41889
CFM56-5B7/3;PTO, Ohio, USA;38596;TF;314;41834
CFM56-5B8/3;PTO, Ohio, USA;38596;TF;544;41830
CFM56-5B9/2P;GEAE PTO and Techspace Aero, Liege, Belgium;35278;TF;789;41858
CFM56-5C2;PTO Site IVD;33393;MTF;1050;41712
CFM56-5C3/P;PTO Site IV-D;33390;MTF;943;41896
CFM56-7B18/3;PTO, Ohio, USA;38624;TF;656;30895
CFM56-7B20/3;PTO, Ohio, USA;38624;TF;574;19238
CFM56-7B22/3;PTO, Ohio, USA;38624;TF;447;30590
CFM56-7B24;Peebles Test Operation, Peebles, Ohio, USA;35247;TF;432;41686
CFM56-7B24/2;Peebles Test Operation (PTO) Peebles, OH;35672;TF;1576;0.7
CFM56-7B24E/B1 ;PTO, Ohio, USA;38624;TF;377;13.28
CFM56-7B26/2;Peebles Test Operation (PTO) Peebles, OH;35672;TF;1425;0.7
CFM56-7B26E/B1;PTO, Ohio, USA;38624;TF;302;14.37
CFM56-7B27;Peebles Test Operation, Peebles, Ohio, USA;35247;TF;335;41690
CFM56-7B27AE;PTO, Ohio, USA;38624;TF;273;14.72
CFM56-7B27E/B3;PTO, Ohio, USA;38624;TF;273;14.72
CFM56-7B27E/F;PTO, Ohio, USA;38624;TF;273;14.72
CF34-10E5;Site 4D;38965;TF;848;41804
CF34-10E5;Site 4D;38192;TF;692;30072
CF34-10E5A1;Site 4D;38192;TF;601;41707
CF34-10E6;Site 3C;39969;TF;670;41651
CF34-10E6A1;Site 3C;39969;TF;568;41745
CF34-10E7;Site 4D;38192;TF;601;41707
CF34-3A;Lynn Cell 121;21-Mar-91;TF;313;41698
CF34-8C1;Peeb7es,NOhio;;TF;13;41888
CF34-8C5A1;PTO Site 3B Peebles;37283;TF;18;29921
CF34-8C5B1;PTO Site 3B Peebles;37283;TF;20;24624
CF34-8E5;Peebles, Ohio;37283;TF;18;41650
CF34-8E5A1;PTO Site 3B Peebles;37283;TF;18;17.55
CF34-8E6A1;PTO Site 3B Peebles;37283;TF;18;17.55
CF6-45A2;Production Test Cells M34 & M35;12-Oct-79;TF;8485;41886
CF6-50C;Site IVD, Peebles, Ohio;31986;TF;784;41655
CF6-50C1, -C2;Production Test Cells M34 & M35;12-Oct-79;TF;7715;41855
CF6-50C2R;Production Test Cells M34 & M35;12-Oct-79;TF;7998;41855
CF6-50E1;Site IVD, Peebles, Ohio;31986;TF;788;41655
CF6-50E2;Production Test Cells M34 & M35;12-Oct-79;Tr;7715;41855
CF6-6K;Production Test Cells M34 & M35;29083;TF;5821;41702
CF6-80A;Production Test Cells M35;30631;TF;1636;41805
CF6-80C2A1;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;2915;41799
CF6-80C2A2;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;3152;41797
CF6-80C2A3;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;2874;41648
CF6-80C2A5;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;2966;41648
CF6-80C2A5F;Site IIIB, PTO, Peebles, Ohio, USA;34712;TF;440;4182C
CF6-80C2B1;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;2953;41706
CF6-80C2B1F;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;3127;41706
CF6-80C2B2F;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;3467;41826
CF6-80C2B4;Site IIIB, PTO Peebles;34t12;TF;535;41647
CF6-80C2B4F;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;3176;41798
CF6-80C2B6;Site IIIB, PTO Peebles;34712;TF;509;41647
CF6-80C2B7F;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;3041;41799
CF6-80C2D1F;Site IIIC, PTO, Peebles, Ohio;29-May-85;TF;2822;41799
CF6-80C2D1F;Site IIIB, PTO Peebles;34712;TF;478;41678
CF6-80E1A3;Site IIIB, PTO Peebles;34712;TF;3438;41861
CF6-80E1A4;Site IIIB, PTO, Ohio;35077;TF;359;41765
GE90-76B;Site IVD and 6, PTO, Peebles;34754;TF;1753;41681
GE90-76B;Site IIID, PTO, Peebles, OH;36534;TF;241;41823
GE90-76B ;Site 6A;39416;TF;1318;2.00
GE90-77B;Site IIID, PTO, Peebles, OH;36534;TF;243;41823
GE90-85B;Site IVD and 6, PTO, Peebles;34754;TF;1772;41861
GE90-85B ;Site 6A;39416;TF;1212;44958
GE90-90B;Site IIID, PTO, Peebles, OH;36534;TF;226;41794
GE90-90B ;Site 6A;39416;TF;1298;41793
GE90-92B;SitJ IIID, PTO, Peebles, Ohi1, USA;35544;TF;212;0.6
GEnx-1B58;PTO, Ohio, USA;40085;TF;342;41884
GEnx-1B64;PTO, Ohio, USA;40085;TF;265;41675
GEnx-1B54/P1;PTO, Ohio, USA;40085;TF;326;41860
GEnx-1B67/P1;PTO, Ohio, USA;40085;TF;208;41860
GEnx-1B70/75/P1;PTO, Ohio, USA;40085;TF;192;41860
AS907-1-1A;Phoenix, AZ;37266;TF;325;41844
 HTF7000 (AS907-1-1A);Phoenix, AZ;40275;MTF;-;15
V2522-A5 SelectOne™ Upgrade Package;East Hartford, CT;11-Dec-08;MTF;39;41650
92Y24-A5 SelectOne™ Upgrade Package;East Hartford, CT;11-Dec-08;MTF;39;41650
V2527-A5E SelectOne™ Upgrade Package;East Hartford, CT;11-Dec-08;MTF;39;41650
V2527E-A5;East Hartford, CT;33828;MTF;32;41801
V2530-A5 SelectOne™ Upgrade Package;East Hartford, CT;11-0ecI08;MTF;38;41650
V2533-A5 SelectOne™ Upgrade Package;East Hartford, CT;11-Dx2-08;MTb;38;41650
NK-C-2U;Sheremetjevo,  Moscow;33038;MTF;11824;-
SaM146-1S18;Test facilities  Snecma in Villaroche, France and NPO-Saturn in Rybinsk, Russia;39995;MTF;136;41834
JT15D-5, -5A, -5B;Longueuil, Quebec;34075;TF;5715;41663
JT3D-3B;East Hartford, CT, USA.;8-Mar-72;TF;24363;63.9
JT8D-15;E Hartford, CT, USA;27851;MTF;2713;41723
JT8D-15;E Hartford, CT, USA;7-Dec-79;MTF;428;41715
JT8D-17;E Hartford, CT, USA;7-Dec-79;MTF;379;41777
JT8D-217;East Hartford, CT;36215;MTF;0;41889
JT8D-217 series;E Hartford, CT, USA;30627;MTF;937;41656
JT8D-219;East Hartford, CT;36215;MTF;k;41890
JT8D-9 series;E Hartford, CT, USA;27851;MTF;2256;24.0
JT9D-20;British Airways Engine Overhaul Ltd, Wales;Mar-76;TF;12108;41894
JT9D-20J;E Hartford, CT, USA;29480;TF;9178;41871
JT9D-70A;E Hartford, CT, USA;27851;TF;4559;41708
JT9D-7F;E Hartford, CT, USA;29480;TF;9464;41871
JT9D-7R4D, -7R4D1;E Hartford, CT, USA;6-Mar-80;TF;464;5.0
JT9D-7R4E4, -E1(H);E Hartford, CT, USA;26-Oct-81;TF;1231;41824
JT9D-7R4H1;E Hartford, CT, USA;26-Oct-81;TF;651;41737
PW2040;East Hartford, CT;30536;TF;426;41771
PW307A;Mississauga, Ontario, Canada;30-Dec-04;MTF;357;41641
PW308A;Mississauga, Ontario, Canada;36631;MTF;460;41656
PW4056;-;32006;TF;652;10.0
PW4074D;East Hartford, Conn, USA;35231;TF;1926;41733
