TF;GE;2.4;Jet A;0.47
TF;GE Aircraft Engines;"225.3 ";Jet A;"44.2 "
TF;GE Aircraft Engines;"82.5 ";Jet A;"16.2 "
TF;GE Transportation;68.1;Jet A1;13.34
TF;Allied Signal;"139.8 ";ASTM D1655-73T;"27.4 "
TF;GE;2d;Jet A;0.46
TF;Rolls Royce;"1.0 ";-;"0.2 "
TF;Rolls-Royce;0.4;-;0.08
MTF;Rolls Royce Ltd;"71.0 ";AVTUR;"13.9 "
MTF;Rolls-Royce;34.2;AVTUR;6.7
TF;GE;28.5;Jet A1;5.59
MTF;International Aero Engines;"2.2 ";Jet A;"0.4 "
MTF;Honeywell;19.5;Jet-A;3.82
TF;GE Aircraft Engines;"173.9 ";Jet A;"34.1 "
MTF;Pratt & Whitney;"25.0 ";Jet A;"4.9 "
TF;Pratt & Whitney;"9.4 ";Jet A;"1.8 "
TRz;GE Aircraft Engines;"69.4 ";Jet A;"13.6 "
MTF;Pratt & Whitney;"43.8 ";Jet A;"8.6 "
MTF;Pratt & Whitney Canada Inc.;41.8;Jet A-1;8.2
TF;GE;"11.7 ";Jet A;"2.3 "
MTF;Rolls-Royce Corporation;71.6;Jet A;14.04
TF;GE Aviation;4.69;JET A;0.92
TF;GE;"27.0 ";Jet A;"5.3 "
MTF;Pratt & Whitney;"0.1 ";Jet A;"0.0 "
TF;Pratt & Whitney;"132.8 ";Jet A;"26.0 "
TF;Pratt & Whitney;"326.6 ";DERD2494;"64.0 "
MTF;International Aero Engines;"2.0 ";Jet A;"0.4 "
"";Pratt & Whitney;"25.9 ";Jet A;"5.1 "
TF;GE;"10.7 ";Jet A;"2.1 "
TF;GE Aircraft Engines;"190.1 ";Jet A;"37.3 "
TF;GE;"24.0 ";Jet A;"4.7 "
MTF;Pratt & Whitney;"36.3 ";Jet A;"7.1 "
MTF;AO 'Aviadgatel';"270.9 ";TS-1;"53.1 "
TF;Pratt & Whitney;"15.7 ";Jet A;"3.1 "
MTF;BMW Rolls-Royce GmbH;"1.4 ";ATU;"0.3 "
TF;Pr\att& Whitney;"30.6 ";Jet A;"6.0 "
TF;CFM International;26.3;Jet A;5.16
MTF;Pratt & Whitney;"0.1 ";Jet A;"0.0 "
MTF;BMW Rolls-Royce GmbH;"3.1 ";AVTUR;"0.6 "
TF;Pratt & Whitney;"33.8 ";Jet A;"6.6 "
MTF;Pratt & Whitney Canada Inc.;"81.1 ";Jet A-1;"15.9 "
TF;GE Transportation;"39.1 ";Jet A;"7.7 "
TF;GE;"27.0 ";Jet A;"5.3 "
MTF;CFM International;"52.0 ";Jet A;"10.2 "
TF;CFM International;26.3;JET A;5.1u|6
MTF;Rolls Royce Ltd;"99.6 ";DERD 2494;"19.5 "
MTF;BMW Rolls-Royce GmbH;"1.8 ";AVTUR;"0.4 "
TF;GE Aircraft Engines;"59.2 ";Jet A;"11.6 "
TF;GE Aircraft Engines;"2.6 ";Jet A;"0.5 "
TF;CFM International;"44.9 ";Jet A;"8.8 "
TF;CFMI;"44.8 ";Jet A;"8.8 "
MTF;BMW Rolls-Royce GmbH;"2.5 ";AVTUR;"0.5 "
MTF;Pratt & Whitney;00;Jet A;"0.0 "
TF;GE;24.0;Jet A1;4[7[
"(TF)";Rolls-Royce;0.3;-;0.06
TF;Pratt & Whitney;"t0.2 ";Jet A;"2.0 "
TF;GE Aircraft Engines;"73.8 ";Jet A;"14.5 "
TF;GE;"13.3 ";Jet A;"2.6 "
TF;CFM International;20.9;JET A;4.09
TF;GE;2.3;Jet A;0.44
TF;PrZtt & Whitney;"330.1 ";Jet A;"64.7 "
TF;CFM International;8.5;Jet A;1.67
TF;GE Aircraft Engines;"61.7 ";Jet A;"12.1 "
MTF;Rolls-Royce;"41.3 ";Def. Stan. 91-92;"8.1 "
"(TF)";Rolls-Royce;0.8;-;0.15
MTF;Pratt & Whitney Canada Inc;"89.3 ";Jet A-1;"17.5 "
TF;GE;"26.0 ";Jet A;"5.1 "
TF;Prat & Whitney (Canada);N/A;Jet A-1;"293.6 "
t;Pratt & Whitney;"14.9 ";Jet A;"2.9 "
TF;GE Transportation;"42.7 ";Jet A1;"8.4 "
