6AL013;AE3007A1/3;Rolls-Royce Corporation;MTF;12.55;64.0;98.9 - 99.0
6AL020;AE3007A1E;Rolls-Royce Corporation;MTF;10.93;55.8;98.9 - 99.0
6AL014;AE3007A1P;Rolls-Royce Corporation;MTF;11.55;58.9;
6AL015;AE3007A1P;Rolls-Royce Corporation;MTF;16.34;83.4;99.6 - 99.7
6AL016;AE3007A1P;Rolls-Royce Corporation;MTF;12.41;63.3;98.9 - 99.0
10AL026;AE3007A2;Rolls-Royce Corporation;MTF;5.32;27.12;101.3
6AL017;AE3007A3;Rolls-Royce Corporation;MTF;14.22;72.6;
6AL018;AE3007A3;Rolls-Royce Corporation;MTF;18.7;95.4;99.6 - 99.7
6AL019;AE3007A3;Rolls-Royce Corporation;MTF;13.48;68.8;98.9 - 99.0
3AL001;AE3007C;Allison Engine Company;MTF;17.5 ;89.3 ;101.3
6AL021;AE3007C;Rolls-Royce Corporation;MTF;14.04;71.6;
6AL022;AE3007C;Rolls-Royce Corporation;MTF;17.85;91.1;99.6 - 99.7
1AA005;PS-90A;AO 'Aviadgatel';MTF;1.4 ;7.1 ;102.9-104
3BR001;BR700-710A1-10;BMW Rolls-Royce GmbH;MTF;6.6 ;33.7 ;101.5-102.1
4BR008;BR700-710A1-10;BMW Rolls-Royce GmbH;MTF;3.7 ;18.6 ;100.9-101.2
4BR009;BR700-710A2-20;BMW Rolls-Royce GmbH;MTF;3.8 ;19.2 ;100.9-101.2
6BR010;BR700-710C4-11;Rolls-Royce;MTF;6.7;34.2;100.9 - 101.2
4BR002;BR700-715A1-30;BMW Rolls-Royce GmbH;MTF;0.6 ;3.1 ;101.3-101.9
4BR005;BR700-715A1-30;BMW Rolls-Royce GmbH;MTF;0.5 ;2.5 ;100.9-101.3
4BR003;BR700-715B1-30;BMW Rolls-Royce GmbH;MTF;0.5 ;2.3 ;101.3-101.9
4BR006;BR700-715B1-30;BMW Rolls-Royce GmbH;MTF;0.4 ;1.8 ;100.9-101.3
4BR004;BR700-715C1-30;BMW Rolls-Royce GmbH;MTF;0.4 ;1.8 ;101.3-101.9
4BR007;BR700-715C1-30;BMW Rolls-Royce GmbH;MTF;0.3 ;1.4 ;100.9-101.3
3CM020;CFM56-5B1/2P;GEAE Peebles Testing Facility + Techspace Aero (CFMI);TF;8.8 ;44.9 ;98.5-99.74
