UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
1AS001,TFE731-2-2B,,Allied Signal,Allied Signal,Phoenix,Dec-75,Apr-76,TF,2.64,13.9,15.6,-,62.3 ,317.6 ,823 ,183.2 ,630 ,-,ASTM D1655-73T,-,96.7-98.1,Not required to meet GASEOUS regulations
1AS002,TFE731-3,,Allied Signal,Allied Signal,Phoenix,Feb-76,Aug-76,TF,2.64,14.3,16.5,-,27.4 ,139.8 ,393 ,147.3 ,845 ,-,ASTM D1655-73T,-,97.0-97.3,Not required to meet GASEOUS regulations
4AL003,AE3007A,,Allison Engine Company,Allison Engine Company,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,5.23,18.08,33.73,-,8.7 ,44.1 ,226 ,49.2 ,1563 ,1.2,Jet A/JP-8,1.899,101.3,
6AL005,AE3007A1,Type 1,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,4.77,17.97,34.91,-,11.42,58.3,307,60.82,1456,1.17,Jet A,1.9,,"1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Results are based on Rolls-Royce report EDR 15171B  3. AE3007A1 data in this report replace data reported in ICAO databank under ID No. 4AL002, Rev 9"
6AL006,AE3007A1,Type 2,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",28-Aug-02,29-Aug-02,MTF,4.77,17.97,34.91,-,16.19,82.6,367,83.71,1607,0.01,Jet A,1.9,99.6 - 99.7,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007A1 egines fitted with PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19972
6AL007,AE3007A1,Type 3 (reduced emissions),Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",9-Jun-01,11-Jun-01,MTF,4.77,17.97,34.91,-,12.34,63.0,279,108.48,1344,0.01,Jet A,1.9,98.9 - 99.0,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007A1 engine fitted with reduced emissions combustor and PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19587
4AL002,AE3007A1 series,,Allison Engine Company,Allison Engine Company,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,4.76,17.81,33.73,6AL005,10.8 ,55.3 ,279 ,65.0 ,1502 ,1.2,Jet A/JP-8,1.899,101.3,"For AE3007A1,  A1/1, A1/2"
6AL008,AE3007A1/1,Type 1,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,4.77,17.9,34.74,-,11.72,59.8,313,61.46,1442,1.17,Jet A,1.9,,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Results based on Rolls-Royce report EDR 15171B
6AL009,AE3007A1/1,Type 2,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",28-Aug-02,29-Aug-02,MTF,4.77,17.9,34.74,-,16.43,83.8,370,84.45,1592,0.01,Jet A,1.9,99.6 - 99.7,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for A3007A1/1 fitted with PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19972
6AL010,AE3007A1/1,Type 3 (reduced emissions),Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",9-Jun-01,11-Jun-01,MTF,4.77,17.9,34.74,-,12.44,63.5,280,109.12,1333,0.01,Jet A,1.9,98.9 - 99.0,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007A1/1 engine fitted with reduced emissions combustor & PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19587
