6AL019;Rolls-Royce Corporation;09. Jun 01;-;1232;98.9 - 99.0
3AL001;Allison Engine Company;3-Mar-946;6AL021;991;101.3
6AL021;Rolls-Royce Corporation;3-Mar-94;8AL025;1050;
6AL022;Rolls-Royce Corporation;28. Aug 02;-;1150;99.6 - 99.7
8AL025;Rolls-Royce Corporation;3-Mar-94;-;1050;
6AL004;Rolls-Royce Corporation;3-Mar-94;6AL023;1175;101.3
6AL023;Rolls-Royce Corporation;3-Mar-94;-;1175;
6AL024;Rolls-Royce Corporation;28. Aug 02;-;1262;99.6 - 99.7
4BR009;BMW Rolls-Royce GmbH;19-Oct-96;-;2784;100.9-101.2
6BR010;Rolls-Royce;19-Oct-96;-;2850;100.9 - 101.2
4BR002;BMW Rolls-Royce GmbH;7-May-98;-;4002;101.3-101.9
4BR005;BMW Rolls-Royce GmbH;29. Jun 99;-;3340;100.9-101.3
4BR003;BMW Rolls-Royce GmbH;7-May-98;-;4583;101.3-101.9
4CM035;CFM56 Evaluation Engineering;19. Nov 86;-;3851;94.70-95.60
4CM036;CFM56 Evaluation Engineering;19. Nov 86;-;4367;94.70-95.60
2CM012;CFM56 Evaluation Engineering;7-Oct-92;-;7783;97.49 - 98.18
2CM016;CFM56 Evaluatio Engineering;15. Jun 94;-;5314;100.67-101.01
3CM020;GEAE Peebles Testing Facility + Techspace Aero (CFMI);Aug 96;-;5024;98.5-99.74
8CM052;GE Aviation;Sep 05;;5749;97.6 to 98.5
3CM023;CFM56-5B Eval Engineering;Nov 95;-;7112;98.2-99.6
2CM013;CFM56 Evaluation Engineering;Oct-92;-;8485;97.49 - 98.18
2CM017;CFM56 Evaluation Engineering;Jun 94;-;5756;100.67-101.01
4CM037;GEAE Peebles Testing Facility + Techspace Aero (CFMI);Aug 96;-;5844;98.5-99.74
8CM053;GE Aviation;Sep 05;;6268;97.6 to 98.5
3CM021;GEAE Peebles Testing Facility + Techspace Aero (CFMI);Aug 96;-;3847;98.5-99.76
8CM055;GE Aviation;Sep 05;-;4511;97.6 to 98.5
3CM026;CFM56-5B Eval Engineering;Nov 95;-;5641;98.2-99.6
8CM056;GE Aviation;Sep 05;-;3047;97.6 to 98.5
3CM027;CFM56-5B Eval Engineering;Nov 95;-;3732;98.2-99.6
2CM019;SNECMA, Villaroche, France;Jun 95;-;3158;99.29-101.01
3CM022;GEAE Peebles Testing Facility + Techspace Aero (CFMI);Aug 96;-;3020;98.5-99.74
8CM057;GE Aviation;Sep 05;-;3363;97.6 to 98.5
3CM028;CFM56-5B Eval Engineering;Nov 95;-;4232;98.2-99.6
8CM058;GE Aviation;Sep 05;-;4511;97.6 to 98.5
8CM064;GE Aviation;29. Sep 05;-;3995;97.6 to 98.5
11CM070;GE Aviation;29. Sep 05;-;3996;97.6 to 98.5
11CM071;GE Aviation;29. Sep 05;-;3996;97.6 to 98.5
3CM0335;CFM56-7B Eval Engineering;Jul 96;8CM051;6149;97.8-98.0
8CM051;CFM56-7B Eval Engineering;Jul 96;-;6149;97.8-98.0
4CM042;CFM56-7B Eval Engineering;30. Aug 97;-;4233;97.9-98.0
8CM065;GE Aviation;29. Sep 05;-;4763;97.6 to 98.5
