D-30KU;;Sheremetjevo,  Moscow;;-;19-Jul-89;3753
D-30KU-154;;Sheremetjevo,  Moscow;;-;4-Jul-89;4389
PS-90A;;Perm City;18-Apr-89;-;17-Apr-89;138
BR700-710A1-10;;BMW Rolls-Royce GmbH, Dahlewitz, Germany;6-Jun-96;-;5-Jun-96;279
BR700-715A1-30;Improved fuel injector;BMW Rolls-Royce GmbH, Dahlewitz, Germany;;-;29-Jun-99;25
CFM56-2A series;;Peebles Site IVD;20-Nov-83;-;11-Nov-83;242
CFM56-2B-1;;Peebles Site IVD;14-Nov-83;-;11-Nov-83;378
CFM56-2-C5;;Peebles Site IVD;14-Nov-83;-;11-Naw-83;378
CFM56-5-A1;;Peebles Site IIIC;20-Nov-86;-;19-Nov-86;285
CFM56-5A3;;Peebles Site IIIC;20-Nov-86;-;19-Nov-86;268
CFM56-5A4;;Pepbles Site IIIC;20-Nov-86;-;19-Nov-86;322
CFM56-5A5;;Peebles Site IIIC;20-Nov-86;-;19-Nov-86;297
CFM56-5B8/P;SAC;Techspace Aero, Liege, Belgium;;-;Nov-95;1023
CF34-10E6A1;2253M21-PFN;Site 3C;6-Jun-09;-;5-Jun-09;568
CF34-10E6A1;SAC;Site 4D;25-Jul-04;-;24-Jul-04;601
CF34-10E7;2253M21;Site 4D;10-Sep-06;-;5-Sep-06;690
CF34-10E7;2253M21-PFN;Site 3C;6-Jun-09;-;5-Jun-09;568
CF34-10E7;SAC;Site 4D;25-Jul-04;-;24-Jul-04;601
CF34-10E7-B;2253M21-PFN;Site 3C;6-Jun-09;-;5-Jun-09;568
CF34-3A;LEC II;Lynn Cell 121;23-Mio-91;-;21-Mar-91;313
CF6-80C2A1;;Site IIIC, PTO, Peebles, Ohio;3-Jun-85;-;29-May-85;2915
CF6-80C2A1;1862M39;Site IIIB, PTO Peebles;17-Jan-95;-;13-Jan-95;536
CF6-80C2B4F;;Site IIIC, PTO, Peebles, Ohio;3-Jun-85;-;29-May-85;3176
CF6-80C2B4F;1862M39;Site IIIB, PTO Peebles;17-Jan-95;-;13-Jan-95;513
CF6-80C2B5F;1862M39;Site IIIB, PTO, Peebles, Ohio, USA;17-Jan-95;-;13-Jan-95;459
JT15D-1 series;;Lonqieuil, Quebec;-;-;17-Aug-77;1866
JT15D-4 series;;Longueuil, Quebec;-;-;1-Feb-99;1706
JT15D-5, -5A, -5B;;Longueuil, Quebec;22-Apr-93;-;16-Apr-93;5715
JT15D-5C;;Longueuil, Quebec;13-Jul-93;-;13-Jul-93;4439
JT3D-3B;;East Hartford, CT, USA.;12-Sep-74;-;8-Mar-72;24363
JT3D-7 series;14-57D;East Hartford, CT, USA.;;-;;24838
JT3D-7 series;Smoke fix  14-70KC;East Hartford, CT, USA.;;-;;
JT8D-11;;E Hartford, CT, USA;18-Jun-80;-;26-Feb-80;2455
JT8D-15;Smoke  fix;E Hartford, CT, USA;Mar-77;-;Apr-76;2713
JT8D-15;Reduced emissions;E Hartford, CT, USA;19-Jun-80;-;7-Dec-79;428
JT8D-15A;;E Hartford, CT, USA;19-Jun-80;-;7-Dec-79;497
JT8D-17;Smoke fix   ;E Hartford, CT, USA;Mar-77;-;Apr-76;2646
JT8D-17;Reduced emissions;E Hirrtford, CT, USA;19-Jun-80;-;7-Dec-79;379
JT8D-17A;;E Hartford, CT, USA;19-Jun-80;-;7-Dec-79;143
JT8D-17AR;;E Hartford, CT, USA;19-Jun-80;-;7-Dec-79;403
JT8D-17R;;E Hartford, CT, USA;19-Jun-80;-;7-Dec-79;329
JT8D-209;;E Hartford, CT, USA;30-Nov-83;-;7-Nov-83;1947
JT8D-217;Envoronmental Kit (E_Kit);East Hartford, CT;2-Mar-99;-;24-Feb-99;0
JT8D-217 series;;E Hartford, CT, USA;30-Nov-83;-;7-Nov-83;937
JT8D-217A;Environmental Kit (E_Kit);East Hartford, CT;2-Mar-99;-;24-Feb-99;0
JT8D-217C;Environmental Kit (E_Kit);East Hartford, CT;2-Mar-99;-;24-Feb-99;0
JT8D-219;;E Hartford, CT, USA;30-Nov-83;-;7-Nov-83;951
JT8D-219;Environmental Kit (E_Kit);East Hartford, CT;2-Mar-99;-;24-Feb-99;0
JT2D-7 sfries;Smoke fix;E Hartford, CT, USA;Mar-77;-;Apr-76;2315
JT8D-7 series;Reduced emissions;E Hartford, CT, USA;18-Jun-80;8PW085;26-Feb-80;830
JT8D-7 series;Reduced emissions;E Hartford, CT, USA;18-Jan-80;-;26-Feb-80;830
JT8D-9 series;Smoke fix;E Hartford, CT, USA;Mar-77;-;Apr-76;2256
JT8D-9 series;Reduced emissions;E Hartford, CT, USA;18-Jun-80;-;26-Feb-80;713
PW2040;;East Hartford, CT;20-Nov-98;-;8-Aug-83;426
PW306A;Annular;Mississauga, Ontario, Canada;20-Jul-00;-;8-May-00;287
PW306B;Annular;Mississauga, Ontario, Canada;20-Jul-00;-;8-May-00;287
PW307A;TALON II;Mississauga, Ontario, Canada;2-Oct-07;-;7-Aug-07;226
PW4098;;East Hartford, Conn. USA;4-Jan-98;-;3-Jan-98;0
PW4164;Floatwall;East Hartford, CT;17-Feb-93;-;14-Feb-93;1505
PW6122A;Talon II;Stand X8, Pratt & Whitney, East Hartford, CT;13-Dec-03;-;12-Dec-03;1
PW6124A;Talon II;Stand X8, Pratt & Whitney, East Hartford, CT;13-Dec-03;-;12-Dec-03;1
PW4060;Phase III;P7 Production Test Cell, Middletown, CT;12-Mar-12;-;11/30/2012;3776
PW4062;Phase III;P7 Production Test Cell, Middletown, CT;12-Mar-12;-;11/30/2012;3594
M45H-01;;Bristol;May-05;-;May-05;
RB211-22B;Package 1;Derby;Aug-79;-;Jun-79;29381
RB211-22B;Package 1;British Airways Test Facility, Heathrow;Apr-80;;Mar-79;24653
RB211-524B series;Package 1;Derby;Aug-79;-;Jun-79;22453
RB211-524B series;Phase 2;SINFIN-Derby;Sep-86;-;Sep-86;934
RB211-524C2;Package 1;SINFIN-Derby;-;-;Sep-86;26209
RB211-524D4;Package 1;SINFIN-Derby;-;-;Nov-82;22707
RB211-524D4;Phase 2;SINFIN-Derby;Sep-86;-;Sep-86;805
RB211-524G;;SINFIN-Derby;May-87;1RP010;Apr-87;2174
RB211-535E4;Phase 5;Hucknall;;-;May-99;83
RB211-535E4B;;SINFIN, Derby;;-;Apr-91;88
RB211-535E4B;Phase 5;Hucknall;;-;May-99;54
S23y 555;Transply IIF;SINFIN, Derby;;-;9-Jun-05;552
SPEY Mk511;;Derby;28-May-05;8RR023;23-May-05;11179
SPEY Mk511;Trpnsply IkH;Derby;Aug-85;-;Sep-84;758
TAY 611-8C;Transply IIJ;Dahlewitz;22-Jan-02;-;21-Jan-02;182.44044
TAY611-8C;Tubular;Dahlewitz;8-May-11;-;22-Jan-02;275
Trent 1000-A;Phase5 Tiled;Derby;9-Jun-11;12RR055;24-Sep-09;21
Trimt 1000-C;Phase5 Tiled;Derby;9-Jun-11;12RR056;24-Sep-09;14
Trent 1000-D;Phase5 Tiled;Derby;9-Jun-11;12RR057;24-Sep-09;14
Trent 1000-L2;Phase5 Tiled;Derby;3-Aug-12;-;24-Sep-09;12
ALF 502L-2;;Stratford, CT;21-Sep-82;-;26-Jul-82;501
ALF 502R-3;;Stratford, CT;20-Sep-82;-;7-Sep-82;449
ALF 502R-5;;Stratford, CT;21-Sep-82;-;26-Jul-82;351
LF507-1F, -1H ;;Stratford, CT;20-Dec-90;-;19-Dec-90;337
D-36;;Zaporoje;10-Dec-84;-;17-May-84;
